date,campaign_id,campaign_name,ad_set_id,ad_set_name,impressions,clicks,spend,conversions,video_views,engagement_rate,reach,frequency
2024-01-01,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,45623,892,127.50,12,8234,0.0195,38234,1.19
2024-01-01,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12456,567,215.80,34,1234,0.0455,9876,1.26
2024-01-01,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,34567,1234,189.90,23,4567,0.0357,28934,1.19
2024-01-02,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,42345,823,118.20,10,7890,0.0194,36789,1.15
2024-01-02,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13678,623,234.50,38,1456,0.0455,10234,1.34
2024-01-02,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,36789,1345,201.30,25,4890,0.0366,30123,1.22
2024-01-03,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,48234,967,134.80,14,8901,0.0201,40123,1.20
2024-01-03,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,11234,489,198.70,31,1123,0.0435,8901,1.26
2024-01-03,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,38901,1456,213.40,28,5234,0.0375,31456,1.24
2024-01-04,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,51234,1023,142.30,15,9234,0.0200,42567,1.20
2024-01-04,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14567,678,245.60,42,1567,0.0465,11234,1.30
2024-01-04,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,67890,234,89.50,5,45678,0.0034,56789,1.20
2024-01-05,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,46789,934,131.20,13,8567,0.0200,39234,1.19
2024-01-05,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12890,567,220.30,36,1345,0.0440,10123,1.27
2024-01-05,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,71234,256,94.80,6,48901,0.0036,59234,1.20
2024-01-06,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,44567,878,125.60,11,8123,0.0197,37456,1.19
2024-01-06,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,35678,1289,195.60,24,4678,0.0361,29345,1.22
2024-01-06,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,69456,245,91.20,5,47234,0.0035,57890,1.20
2024-01-07,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,49876,1067,145.90,16,9567,0.0214,41234,1.21
2024-01-07,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13456,623,237.80,40,1456,0.0463,10567,1.27
2024-01-07,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,37234,1367,207.90,27,5012,0.0367,30678,1.21
2024-01-08,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,47234,945,135.40,14,8789,0.0200,39567,1.19
2024-01-08,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12123,534,212.40,35,1234,0.0441,9567,1.27
2024-01-08,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,73456,267,98.30,7,50123,0.0036,60234,1.22
2024-01-09,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,50123,1012,141.70,15,9345,0.0202,41890,1.20
2024-01-09,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,36456,1312,199.80,26,4823,0.0360,30234,1.21
2024-01-09,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,70123,253,93.60,6,48234,0.0036,58456,1.20
2024-01-10,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,48567,978,137.80,14,8945,0.0201,40456,1.20
2024-01-10,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13789,645,241.20,41,1489,0.0468,10789,1.28
2024-01-10,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,38456,1423,217.50,29,5123,0.0370,31234,1.23
2024-01-11,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,52123,1089,148.60,17,9567,0.0209,43234,1.21
2024-01-11,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14567,723,256.40,44,1612,0.0496,11456,1.27
2024-01-11,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,39789,1534,225.80,31,5456,0.0386,32567,1.22
2024-01-11,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,76234,278,101.50,8,52345,0.0037,62456,1.22
2024-01-12,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,49234,1012,140.30,15,9123,0.0206,41567,1.18
2024-01-12,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13456,634,239.70,39,1378,0.0471,10567,1.27
2024-01-12,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,37890,1398,212.40,28,5012,0.0369,30890,1.23
2024-01-12,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,72890,261,96.80,7,49567,0.0036,59123,1.23
2024-01-13,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,42345,856,121.50,12,7890,0.0202,35678,1.19
2024-01-13,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,11234,523,198.60,32,1123,0.0466,8901,1.27
2024-01-13,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,33456,1203,185.30,23,4234,0.0360,27890,1.20
2024-01-13,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,64567,238,83.40,5,43234,0.0037,52890,1.22
2024-01-14,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,40123,798,114.70,11,7345,0.0199,33456,1.20
2024-01-14,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,10567,489,185.90,29,998,0.0463,8234,1.28
2024-01-14,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,31234,1123,173.80,21,3890,0.0360,26123,1.20
2024-01-14,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,61234,223,78.90,4,40567,0.0036,50123,1.22
2024-01-15,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,46789,934,132.40,14,8567,0.0200,39234,1.19
2024-01-15,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12890,567,221.30,37,1345,0.0440,10123,1.27
2024-01-15,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,35678,1289,196.60,25,4678,0.0361,29345,1.22
2024-01-15,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,68456,248,87.60,6,46234,0.0036,56789,1.21
2024-01-16,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,50234,1023,143.80,16,9234,0.0204,42345,1.19
2024-01-16,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14234,678,248.50,42,1567,0.0477,11234,1.27
2024-01-16,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,38456,1423,218.70,30,5123,0.0370,31234,1.23
2024-01-16,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,73456,267,94.20,7,49890,0.0036,59567,1.24
2024-01-17,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,51789,1089,152.30,18,9567,0.0210,43567,1.19
2024-01-17,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,15234,734,264.70,46,1678,0.0482,12123,1.26
2024-01-17,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,40123,1534,232.80,33,5456,0.0382,32890,1.22
2024-01-17,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,75890,278,98.50,8,51234,0.0037,61567,1.23
2024-01-18,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,49567,1012,144.60,16,9123,0.0204,41890,1.18
2024-01-18,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14567,689,253.40,43,1489,0.0473,11567,1.26
2024-01-18,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,38901,1456,224.50,31,5234,0.0374,31456,1.24
2024-01-18,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,72345,261,92.70,7,48567,0.0036,58234,1.24
2024-01-19,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,47890,967,138.40,15,8789,0.0202,40234,1.19
2024-01-19,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13890,634,235.80,40,1378,0.0457,10890,1.27
2024-01-19,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,37234,1367,209.90,28,5012,0.0367,30678,1.21
2024-01-19,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,70123,253,89.40,6,47234,0.0036,57890,1.21
2024-01-20,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,43234,878,125.70,13,7890,0.0203,36567,1.18
2024-01-20,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,11890,545,202.30,34,1156,0.0458,9567,1.28
2024-01-20,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,34567,1234,189.60,24,4567,0.0357,28934,1.19
2024-01-20,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,65234,234,81.20,5,43567,0.0036,53456,1.19
2024-01-21,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,41567,823,118.90,12,7456,0.0198,35123,1.18
2024-01-21,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,10234,467,178.40,30,945,0.0456,8456,1.21
2024-01-21,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,32890,1178,171.20,22,3789,0.0358,27234,1.21
2024-01-21,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,62345,223,76.30,4,41234,0.0036,51567,1.20
2024-01-22,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,45234,912,129.80,14,8234,0.0202,38567,1.17
2024-01-22,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12456,567,209.60,36,1234,0.0455,9876,1.26
2024-01-22,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,35123,1267,194.50,26,4345,0.0361,29123,1.21
2024-01-22,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,66789,245,84.70,5,44567,0.0037,54890,1.22
2024-01-23,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,48567,989,140.30,15,8945,0.0204,40456,1.20
2024-01-23,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13789,623,229.80,38,1489,0.0452,10789,1.28
2024-01-23,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,37456,1389,213.40,29,4890,0.0371,30567,1.22
2024-01-23,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,71234,256,90.50,6,48123,0.0036,58567,1.22
2024-01-24,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,51234,1067,149.70,17,9234,0.0208,42567,1.20
2024-01-24,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14890,712,251.60,43,1578,0.0478,11790,1.26
2024-01-24,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,39234,1489,227.90,32,5234,0.0379,32123,1.22
2024-01-24,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,74567,267,95.80,7,50234,0.0036,60789,1.23
2024-01-25,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,52789,1123,156.40,18,9567,0.0213,43890,1.20
2024-01-25,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,15678,756,268.90,47,1678,0.0482,12345,1.27
2024-01-25,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,40567,1567,238.60,34,5456,0.0386,33234,1.22
2024-01-25,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,76890,278,99.20,8,51567,0.0036,62890,1.23
2024-01-26,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,50123,1034,147.50,17,9123,0.0206,41890,1.20
2024-01-26,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14234,689,254.70,44,1456,0.0484,11234,1.27
2024-01-26,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,38890,1445,231.20,32,5123,0.0372,31567,1.23
2024-01-26,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,73456,261,94.60,7,49234,0.0036,59567,1.23
2024-01-27,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,46234,934,133.80,15,8456,0.0202,38890,1.19
2024-01-27,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,12567,567,209.40,36,1267,0.0451,9890,1.27
2024-01-27,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,35890,1289,197.80,27,4567,0.0359,29567,1.21
2024-01-27,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,68234,245,85.90,5,45678,0.0036,55890,1.22
2024-01-28,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,44567,890,127.60,13,8123,0.0200,37456,1.19
2024-01-28,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,11456,523,192.30,33,1089,0.0457,8967,1.28
2024-01-28,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,33567,1203,184.50,25,4123,0.0358,27890,1.20
2024-01-28,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,65789,234,80.40,4,43890,0.0036,54123,1.21
2024-01-29,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,47890,967,138.40,15,8789,0.0202,40234,1.19
2024-01-29,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,13234,612,226.50,39,1345,0.0463,10456,1.27
2024-01-29,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,36234,1334,203.70,28,4678,0.0368,30123,1.20
2024-01-29,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,69567,253,88.70,6,46890,0.0036,57123,1.22
2024-01-30,fb_1001,Brand_Awareness_Q1,fbset_2001,Broad_Audience_18-35,49234,1001,142.80,16,9012,0.0203,41567,1.18
2024-01-30,fb_1002,Conversions_Retargeting,fbset_2002,Cart_Abandoners,14123,645,236.90,41,1423,0.0457,11123,1.27
2024-01-30,fb_1003,Traffic_Drive_Jan,fbset_2003,Lookalike_Purchasers,37890,1412,216.50,30,4956,0.0373,30890,1.23
2024-01-30,fb_1004,Video_Views_Campaign,fbset_2004,Video_Enthusiasts,72123,261,91.30,7,48567,0.0036,58890,1.22
