date,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,cost,conversions,conversion_value,ctr,avg_cpc,quality_score,search_impression_share
2024-01-01,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23456,1234,234.50,45,2250.00,0.0526,0.19,9,0.92
2024-01-01,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,45678,890,567.80,23,1150.00,0.0195,0.64,7,0.45
2024-01-01,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,67890,2345,423.60,67,3350.00,0.0345,0.18,8,0.67
2024-01-02,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,24567,1289,245.60,48,2400.00,0.0525,0.19,9,0.91
2024-01-02,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,43234,823,534.20,21,1050.00,0.0190,0.65,7,0.44
2024-01-02,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,71234,2456,445.80,71,3550.00,0.0345,0.18,8,0.68
2024-01-03,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,22345,1123,213.40,42,2100.00,0.0503,0.19,9,0.93
2024-01-03,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,47890,967,623.50,25,1250.00,0.0202,0.64,6,0.43
2024-01-03,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,123456,456,123.40,12,600.00,0.0037,0.27,7,0.35
2024-01-04,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25678,1345,256.70,50,2500.00,0.0524,0.19,9,0.92
2024-01-04,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,69456,2234,412.30,65,3250.00,0.0322,0.18,8,0.66
2024-01-04,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,134567,489,134.50,14,700.00,0.0036,0.28,7,0.36
2024-01-05,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23890,1234,234.90,46,2300.00,0.0517,0.19,9,0.91
2024-01-05,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,46234,912,589.30,24,1200.00,0.0197,0.65,7,0.45
2024-01-05,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,128901,467,128.90,13,650.00,0.0036,0.28,7,0.34
2024-01-06,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,24234,1267,241.20,47,2350.00,0.0523,0.19,9,0.92
2024-01-06,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,72345,2378,432.90,69,3450.00,0.0329,0.18,8,0.67
2024-01-06,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,131234,478,132.40,13,650.00,0.0036,0.28,7,0.35
2024-01-07,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,26789,1456,278.90,54,2700.00,0.0544,0.19,9,0.93
2024-01-07,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,44567,878,567.20,22,1100.00,0.0197,0.65,6,0.44
2024-01-07,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,70234,2289,419.50,66,3300.00,0.0326,0.18,8,0.66
2024-01-08,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,22567,1134,216.80,43,2150.00,0.0503,0.19,9,0.91
2024-01-08,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,48234,989,634.70,26,1300.00,0.0205,0.64,7,0.46
2024-01-08,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,125678,445,121.30,11,550.00,0.0035,0.27,7,0.34
2024-01-09,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25234,1312,250.30,49,2450.00,0.0520,0.19,9,0.92
2024-01-09,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,73456,2423,441.80,70,3500.00,0.0330,0.18,8,0.68
2024-01-09,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,129345,456,125.60,12,600.00,0.0035,0.28,7,0.35
2024-01-10,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,24678,1289,245.90,48,2400.00,0.0522,0.19,9,0.91
2024-01-10,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,45234,901,578.90,23,1150.00,0.0199,0.64,7,0.45
2024-01-10,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,68901,2267,414.20,64,3200.00,0.0329,0.18,8,0.67
2024-01-11,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,26234,1378,263.40,52,2600.00,0.0525,0.19,9,0.92
2024-01-11,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,47890,934,612.50,26,1300.00,0.0195,0.66,7,0.46
2024-01-11,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,71234,2456,445.80,71,3550.00,0.0345,0.18,8,0.68
2024-01-11,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,136789,512,142.30,15,750.00,0.0037,0.28,7,0.36
2024-01-12,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25123,1312,250.40,49,2450.00,0.0522,0.19,9,0.91
2024-01-12,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,46567,912,596.70,24,1200.00,0.0196,0.65,7,0.45
2024-01-12,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,69890,2334,428.90,66,3300.00,0.0334,0.18,8,0.67
2024-01-12,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,133456,489,131.20,14,700.00,0.0037,0.27,7,0.35
2024-01-13,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,22456,1156,220.40,43,2150.00,0.0515,0.19,9,0.90
2024-01-13,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,41234,823,528.90,21,1050.00,0.0200,0.64,6,0.43
2024-01-13,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,63456,2089,382.60,60,3000.00,0.0329,0.18,8,0.65
2024-01-13,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,119234,434,116.80,12,600.00,0.0036,0.27,7,0.33
2024-01-14,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,21234,1089,207.80,41,2050.00,0.0513,0.19,9,0.89
2024-01-14,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,39567,789,507.40,19,950.00,0.0199,0.64,6,0.42
2024-01-14,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,61890,2012,369.30,58,2900.00,0.0325,0.18,8,0.64
2024-01-14,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,115678,412,113.40,11,550.00,0.0036,0.28,7,0.32
2024-01-15,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23890,1234,235.60,46,2300.00,0.0517,0.19,9,0.91
2024-01-15,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,43789,856,560.90,22,1100.00,0.0195,0.66,7,0.44
2024-01-15,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,67234,2234,411.70,65,3250.00,0.0332,0.18,8,0.66
2024-01-15,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,128901,467,126.70,13,650.00,0.0036,0.27,7,0.34
2024-01-16,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25456,1345,257.30,51,2550.00,0.0528,0.19,9,0.92
2024-01-16,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,45678,901,584.50,24,1200.00,0.0197,0.65,7,0.45
2024-01-16,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,70123,2378,435.80,69,3450.00,0.0339,0.18,8,0.67
2024-01-16,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,132567,489,130.50,14,700.00,0.0037,0.27,7,0.35
2024-01-17,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,26789,1456,278.90,54,2700.00,0.0544,0.19,9,0.93
2024-01-17,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,47234,967,605.60,25,1250.00,0.0205,0.63,7,0.46
2024-01-17,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,72456,2489,450.70,72,3600.00,0.0344,0.18,8,0.68
2024-01-17,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,138901,534,136.40,15,750.00,0.0038,0.26,7,0.36
2024-01-18,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25789,1389,265.20,52,2600.00,0.0538,0.19,9,0.92
2024-01-18,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,46123,923,590.30,24,1200.00,0.0200,0.64,7,0.45
2024-01-18,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,71567,2412,442.30,70,3500.00,0.0337,0.18,8,0.68
2024-01-18,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,135234,501,133.60,14,700.00,0.0037,0.27,7,0.35
2024-01-19,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,24567,1289,246.80,48,2400.00,0.0525,0.19,9,0.91
2024-01-19,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,44890,890,574.70,23,1150.00,0.0198,0.65,7,0.44
2024-01-19,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,69234,2301,423.50,67,3350.00,0.0332,0.18,8,0.67
2024-01-19,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,131567,478,129.40,13,650.00,0.0036,0.27,7,0.34
2024-01-20,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,22345,1123,214.50,42,2100.00,0.0503,0.19,9,0.89
2024-01-20,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,40567,812,520.40,20,1000.00,0.0200,0.64,6,0.42
2024-01-20,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,64890,2067,376.80,59,2950.00,0.0319,0.18,8,0.65
2024-01-20,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,124567,445,122.30,12,600.00,0.0036,0.27,7,0.33
2024-01-21,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,21567,1089,207.80,41,2050.00,0.0505,0.19,9,0.88
2024-01-21,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,38901,778,498.70,19,950.00,0.0200,0.64,6,0.41
2024-01-21,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,62345,1989,365.40,57,2850.00,0.0319,0.18,8,0.63
2024-01-21,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,118234,423,116.20,11,550.00,0.0036,0.27,7,0.32
2024-01-22,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,24234,1267,241.20,47,2350.00,0.0523,0.19,9,0.91
2024-01-22,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,42890,845,549.30,22,1100.00,0.0197,0.65,7,0.44
2024-01-22,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,66789,2223,407.90,64,3200.00,0.0333,0.18,8,0.66
2024-01-22,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,127890,456,125.60,13,650.00,0.0036,0.28,7,0.34
2024-01-23,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25678,1356,259.40,51,2550.00,0.0528,0.19,9,0.92
2024-01-23,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,45123,912,577.80,24,1200.00,0.0202,0.63,7,0.45
2024-01-23,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,70234,2389,432.60,69,3450.00,0.0340,0.18,8,0.67
2024-01-23,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,133456,489,131.20,14,700.00,0.0037,0.27,7,0.35
2024-01-24,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,27123,1434,274.30,55,2750.00,0.0529,0.19,9,0.93
2024-01-24,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,47890,978,613.50,26,1300.00,0.0204,0.63,7,0.46
2024-01-24,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,73456,2501,456.70,73,3650.00,0.0340,0.18,8,0.69
2024-01-24,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,139234,523,136.80,15,750.00,0.0038,0.26,7,0.36
2024-01-25,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,28234,1512,287.60,58,2900.00,0.0535,0.19,9,0.94
2024-01-25,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,49567,1012,634.20,27,1350.00,0.0204,0.63,7,0.47
2024-01-25,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,75234,2567,467.80,75,3750.00,0.0341,0.18,8,0.70
2024-01-25,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,142345,545,139.90,16,800.00,0.0038,0.26,7,0.37
2024-01-26,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,26789,1378,263.40,53,2650.00,0.0515,0.19,9,0.92
2024-01-26,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,47234,945,605.60,25,1250.00,0.0200,0.64,7,0.46
2024-01-26,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,72890,2434,450.20,71,3550.00,0.0334,0.18,8,0.69
2024-01-26,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,138567,512,136.20,15,750.00,0.0037,0.27,7,0.36
2024-01-27,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25234,1312,250.30,49,2450.00,0.0520,0.19,9,0.91
2024-01-27,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,45678,901,584.50,24,1200.00,0.0197,0.65,7,0.45
2024-01-27,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,70123,2356,431.20,68,3400.00,0.0336,0.18,8,0.68
2024-01-27,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,134890,489,132.70,14,700.00,0.0036,0.27,7,0.35
2024-01-28,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23567,1189,226.80,44,2200.00,0.0505,0.19,9,0.90
2024-01-28,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,42890,834,549.30,21,1050.00,0.0195,0.66,7,0.43
2024-01-28,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,66234,2167,395.80,61,3050.00,0.0327,0.18,8,0.66
2024-01-28,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,127345,445,125.10,12,600.00,0.0035,0.28,7,0.33
2024-01-29,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,24890,1278,244.20,47,2350.00,0.0513,0.19,9,0.91
2024-01-29,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,44567,878,570.80,23,1150.00,0.0197,0.65,7,0.44
2024-01-29,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,68456,2289,419.50,66,3300.00,0.0334,0.18,8,0.67
2024-01-29,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,131234,467,128.90,13,650.00,0.0036,0.28,7,0.34
2024-01-30,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25456,1334,254.60,50,2500.00,0.0524,0.19,9,0.92
2024-01-30,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,45890,912,587.70,24,1200.00,0.0199,0.64,7,0.45
2024-01-30,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,70234,2367,432.10,68,3400.00,0.0337,0.18,8,0.67
2024-01-30,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,133456,478,131.20,14,700.00,0.0036,0.27,7,0.35